accommodation,num
27361.00 ,1
27627.00 ,2
27696.00 ,3
27802.00 ,4
27877.00 ,5
27794.00 ,6
27485.00 ,7
27827.00 ,8
28003.00 ,9
27883.00 ,10
27897.00 ,11
28204.00 ,12
28996.00 ,13
29560.00 ,14
28935.00 ,15
28804.00 ,16
28933.00 ,17
29134.00 ,18
29671.00 ,19
29859.00 ,20
29758.00 ,21
29687.00 ,22
29575.00 ,23
29936.00 ,24
29908.00 ,25
30236.00 ,26
30198.00 ,27
30566.00 ,28
30251.00 ,29
30191.00 ,30
30132.00 ,31
30208.00 ,32
30501.00 ,33
30721.00 ,34
30572.00 ,35
30333.00 ,36
30533.00 ,37
30500.00 ,38
30686.00 ,39
30819.00 ,40
31255.00 ,41
31352.00 ,42
31940.00 ,43
31627.00 ,44
31760.00 ,45
32333.00 ,46
32092.00 ,47
32070.00 ,48
32221.00 ,49
32184.00 ,50
32667.00 ,51
31826.00 ,52
31751.00 ,53
31655.00 ,54
31839.00 ,55
31709.00 ,56
30481.00 ,57
30908.00 ,58
31692.00 ,59
32210.00 ,60
31657.00 ,61
31938.00 ,62
32082.00 ,63
32671.00 ,64
32709.00 ,65
32847.00 ,66
32866.00 ,67
32800.00 ,68
32500.00 ,69
32128.00 ,70
32236.00 ,71
32234.00 ,72
31555.00 ,73
31994.00 ,74
32005.00 ,75
31244.00 ,76
31065.00 ,77
31438.00 ,78
31407.00 ,79
31459.00 ,80
31709.00 ,81
32047.00 ,82
32003.00 ,83
31778.00 ,84
31729.00 ,85
31744.00 ,86
32358.00 ,87
32451.00 ,88
32625.00 ,89
32234.00 ,90
32778.00 ,91
32999.00 ,92
33094.00 ,93
32885.00 ,94
32909.00 ,95
33032.00 ,96
32801.00 ,97
33547.00 ,98
32940.00 ,99
32905.00 ,100
32731.00 ,101
33135.00 ,102
33220.00 ,103
33231.00 ,104
32699.00 ,105
32747.00 ,106
33085.00 ,107
32969.00 ,108
33648.00 ,109
33337.00 ,110
33257.00 ,111
33146.00 ,112
33362.00 ,113
33064.00 ,114
32775.00 ,115
32566.00 ,116
32833.00 ,117
33158.00 ,118
33203.00 ,119
33343.00 ,120
33202.00 ,121
32907.00 ,122
33534.00 ,123
33076.00 ,124
33341.00 ,125
33544.00 ,126
33946.00 ,127
33581.00 ,128
33814.00 ,129
34115.00 ,130
34058.00 ,131
33589.00 ,132
33727.00 ,133
33181.00 ,134
33568.00 ,135
33713.00 ,136
33851.00 ,137
33899.00 ,138
33707.00 ,139
34197.00 ,140
34066.00 ,141
33932.00 ,142
34285.00 ,143
33870.00 ,144
34684.00 ,145
34563.00 ,146
34286.00 ,147
34145.00 ,148
33652.00 ,149
33650.00 ,150
34042.00 ,151
34124.00 ,152
34353.00 ,153
33562.00 ,154
33913.00 ,155
34059.00 ,156
34079.00 ,157
34929.00 ,158
34189.00 ,159
33882.00 ,160
33845.00 ,161
33786.00 ,162
33482.00 ,163
33815.00 ,164
33697.00 ,165
33900.00 ,166
34067.00 ,167
33982.00 ,168
33932.00 ,169
34042.00 ,170
34197.00 ,171
34563.00 ,172
34791.00 ,173
34771.00 ,174
34843.00 ,175
34692.00 ,176
35111.00 ,177
34922.00 ,178
35334.00 ,179
35215.00 ,180
35050.00 ,181
35174.00 ,182
35649.00 ,183
35219.00 ,184
35425.00 ,185
35414.00 ,186
35735.00 ,187
35563.00 ,188
35873.00 ,189
35682.00 ,190
35836.00 ,191
35920.00 ,192
36247.00 ,193
36311.00 ,194
36524.00 ,195
36355.00 ,196
36842.00 ,197
36915.00 ,198
36722.00 ,199
37211.00 ,200
37071.00 ,201
37247.00 ,202
37516.00 ,203
37239.00 ,204
37796.00 ,205
38117.00 ,206
38348.00 ,207
38492.00 ,208
38951.00 ,209
39096.00 ,210
38873.00 ,211
39427.00 ,212
39307.00 ,213
39670.00 ,214
39703.00 ,215
39872.00 ,216
39640.00 ,217
39353.00 ,218
39330.00 ,219
39793.00 ,220
39925.00 ,221
40199.00 ,222
40276.00 ,223
40157.00 ,224
40027.00 ,225
40284.00 ,226
40248.00 ,227
40468.00 ,228
40753.00 ,229
41020.00 ,230
41109.00 ,231
41192.00 ,232
40986.00 ,233
41201.00 ,234
41491.00 ,235
41513.00 ,236
41389.00 ,237
40953.00 ,238
41003.00 ,239
40218.00 ,240
41267.00 ,241
40840.00 ,242
40854.00 ,243
41307.00 ,244
41436.00 ,245
41797.00 ,246
41836.00 ,247
41978.00 ,248
42100.00 ,249
41825.00 ,250
42009.00 ,251
41735.00 ,252
41854.00 ,253
42018.00 ,254
41957.00 ,255
41981.00 ,256
42245.00 ,257
42431.00 ,258
42867.00 ,259
42791.00 ,260
42884.00 ,261
43017.00 ,262
42962.00 ,263
43317.00 ,264
43022.00 ,265
43177.00 ,266
43164.00 ,267
43351.00 ,268
43415.00 ,269
43713.00 ,270
43598.00 ,271
43592.00 ,272
43801.00 ,273
43685.00 ,274
43827.00 ,275
43835.00 ,276
44055.00 ,277
43894.00 ,278
28165.00 ,279
15796.00 ,280
19002.00 ,281
24241.00 ,282
28388.00 ,283
30403.00 ,284
29968.00 ,285
28728.00 ,286
28568.00 ,287
26617.00 ,288
