agriculture,num
24156.00 ,1
24014.00 ,2
24020.00 ,3
24223.00 ,4
24232.00 ,5
24157.00 ,6
24141.00 ,7
24159.00 ,8
24190.00 ,9
24391.00 ,10
24589.00 ,11
24654.00 ,12
25467.00 ,13
25672.00 ,14
25354.00 ,15
25614.00 ,16
24919.00 ,17
23668.00 ,18
24294.00 ,19
25213.00 ,20
25340.00 ,21
26121.00 ,22
26529.00 ,23
27041.00 ,24
27319.00 ,25
27094.00 ,26
27053.00 ,27
26804.00 ,28
27240.00 ,29
27197.00 ,30
27819.00 ,31
28186.00 ,32
28170.00 ,33
28171.00 ,34
28129.00 ,35
27719.00 ,36
28095.00 ,37
27638.00 ,38
28461.00 ,39
28216.00 ,40
28397.00 ,41
28848.00 ,42
28793.00 ,43
28054.00 ,44
27649.00 ,45
27501.00 ,46
27634.00 ,47
28143.00 ,48
28525.00 ,49
28595.00 ,50
28462.00 ,51
28532.00 ,52
28410.00 ,53
28144.00 ,54
27913.00 ,55
28118.00 ,56
28328.00 ,57
28420.00 ,58
27531.00 ,59
26967.00 ,60
25951.00 ,61
26256.00 ,62
26189.00 ,63
26845.00 ,64
26732.00 ,65
27055.00 ,66
26642.00 ,67
27515.00 ,68
27755.00 ,69
28115.00 ,70
28595.00 ,71
29025.00 ,72
29482.00 ,73
29727.00 ,74
29923.00 ,75
29958.00 ,76
29856.00 ,77
29037.00 ,78
29473.00 ,79
29347.00 ,80
29329.00 ,81
29947.00 ,82
30196.00 ,83
31276.00 ,84
31172.00 ,85
31133.00 ,86
31615.00 ,87
31905.00 ,88
32204.00 ,89
32840.00 ,90
33255.00 ,91
33211.00 ,92
33165.00 ,93
33170.00 ,94
33045.00 ,95
32817.00 ,96
32211.00 ,97
31793.00 ,98
31998.00 ,99
31966.00 ,100
32791.00 ,101
33081.00 ,102
33426.00 ,103
33546.00 ,104
33567.00 ,105
33107.00 ,106
32529.00 ,107
32517.00 ,108
32856.00 ,109
33232.00 ,110
33032.00 ,111
32950.00 ,112
32913.00 ,113
32978.00 ,114
32438.00 ,115
31873.00 ,116
31934.00 ,117
31316.00 ,118
31370.00 ,119
31391.00 ,120
31238.00 ,121
31039.00 ,122
30442.00 ,123
29844.00 ,124
29647.00 ,125
29477.00 ,126
29960.00 ,127
30737.00 ,128
30377.00 ,129
30594.00 ,130
31046.00 ,131
31000.00 ,132
30845.00 ,133
31502.00 ,134
32081.00 ,135
32573.00 ,136
32314.00 ,137
32520.00 ,138
33115.00 ,139
33356.00 ,140
33463.00 ,141
33786.00 ,142
33396.00 ,143
32776.00 ,144
32856.00 ,145
32602.00 ,146
31875.00 ,147
31306.00 ,148
30160.00 ,149
30129.00 ,150
30330.00 ,151
30002.00 ,152
30418.00 ,153
30531.00 ,154
30887.00 ,155
30725.00 ,156
30917.00 ,157
31188.00 ,158
31143.00 ,159
31278.00 ,160
31258.00 ,161
31280.00 ,162
31554.00 ,163
31463.00 ,164
31576.00 ,165
31500.00 ,166
31560.00 ,167
31952.00 ,168
32311.00 ,169
32402.00 ,170
32837.00 ,171
32892.00 ,172
32767.00 ,173
32487.00 ,174
32391.00 ,175
32817.00 ,176
32776.00 ,177
32756.00 ,178
32856.00 ,179
32772.00 ,180
32185.00 ,181
32125.00 ,182
31869.00 ,183
32173.00 ,184
32215.00 ,185
32530.00 ,186
32972.00 ,187
33317.00 ,188
33517.00 ,189
34028.00 ,190
34681.00 ,191
35553.00 ,192
36414.00 ,193
37156.00 ,194
37805.00 ,195
38279.00 ,196
38811.00 ,197
39076.00 ,198
39657.00 ,199
40033.00 ,200
40028.00 ,201
39728.00 ,202
39267.00 ,203
38780.00 ,204
37339.00 ,205
36775.00 ,206
36622.00 ,207
36471.00 ,208
36177.00 ,209
36012.00 ,210
35905.00 ,211
35516.00 ,212
35407.00 ,213
35730.00 ,214
35866.00 ,215
36221.00 ,216
36462.00 ,217
36916.00 ,218
37002.00 ,219
37399.00 ,220
37578.00 ,221
37578.00 ,222
37808.00 ,223
37965.00 ,224
38245.00 ,225
38516.00 ,226
38532.00 ,227
38939.00 ,228
38899.00 ,229
38773.00 ,230
38774.00 ,231
38744.00 ,232
38859.00 ,233
39008.00 ,234
39346.00 ,235
39570.00 ,236
39837.00 ,237
40005.00 ,238
39865.00 ,239
39896.00 ,240
40086.00 ,241
40287.00 ,242
40411.00 ,243
40241.00 ,244
40250.00 ,245
40026.00 ,246
40247.00 ,247
40198.00 ,248
40253.00 ,249
40080.00 ,250
40127.00 ,251
40206.00 ,252
40456.00 ,253
40702.00 ,254
40701.00 ,255
40984.00 ,256
41209.00 ,257
41158.00 ,258
41007.00 ,259
40939.00 ,260
40928.00 ,261
41005.00 ,262
41235.00 ,263
41256.00 ,264
41837.00 ,265
41572.00 ,266
41872.00 ,267
42757.00 ,268
43449.00 ,269
43910.00 ,270
44020.00 ,271
43791.00 ,272
43531.00 ,273
45740.00 ,274
44443.00 ,275
43278.00 ,276
43107.00 ,277
43685.00 ,278
44175.00 ,279
43903.00 ,280
44940.00 ,281
45747.00 ,282
45092.00 ,283
45248.00 ,284
45769.00 ,285
46970.00 ,286
47752.00 ,287
48264.00 ,288
